hdx_id,hdx_name,fts_id,fts_n_perfect,fts_n_fuzzy,hunch,status
acaps,ACAPS,16184,1,6,NA,done
accion-contra-el-hambre-acf-spain,Accion Contra el Hambre (ACF-Spain),15117,0,0,NA,done
adra-vanuatu,ADRA Vanuatu,NA,0,0,Unknown,done
alhasan-systems-private-limited,ALHASAN Systems Private Limited,NA,0,0,Small Organization,done
american-red-cross,American Red Cross,5454,1,3,NA,done
brcmapsteam,BRC Maps Team,110,0,0,NA,done
canadian-red-cross,Canadian Red Cross,5389,1,1,NA,done
caribbean-gis,Caribbean GIS,NA,0,1,Small Organization,done
cartong,CartONG,8367,2,2,NA,done
central-university,Central University,NA,0,0,Small Organization,done
codhes,CODHES,NA,0,1,Small Organization,done
dane,DANE,NA,2,24,Government Body,done
dfid,DFID,NA,0,14,Government Body,done
direct-relief,Direct Relief,7340,2,2,NA,done
emergency-telecommunications-cluster,Emergency Telecommunications Cluster,NA,0,0,Not an Organization,done
fao,Food and Agriculture Organization (FAO),123,0,0,NA,done
flowminder,Flowminder,NA,0,0,Small Organization,done
french-red-cross,French Red Cross,5465,1,1,NA,done
gapminder-foundation,Gapminder Foundation,NA,0,0,Small Organization,done
global-cccm-cluster,Global CCCM Cluster,NA,0,0,Not an Organization,done
global-data-lab-gdl,Global Data Lab (GDL),NA,0,0,Small Organization,done
hdx,HDX,NA,0,56,Small Organization,done
hot,Humanitarian OpenStreetMap Team (HOT),NA,0,0,Small Organization,done
hrw,Human Rights Watch (HRW),5708,0,0,NA,done
humanitarian-exchange-language-hxl,Humanitarian Exchange Language (HXL),NA,0,0,Not an Organization,done
humanity-road,Humanity Road,NA,0,0,Small Organization,done
icrc-drc,ICRC DRC,462,0,0,NA,done
info4disasters,Info4Disasters,NA,0,0,Small Organization,done
inform,InfoRM,NA,0,0,Not an Organization,done
innago,INNAGO,NA,0,0,Not an Organization,done
interaction,InterAction,6570,2,508,NA,done
international-displacement-monitoring-centre-idmc,Internal Displacement Monitoring Centre (IDMC),NA,0,0,Unknown,done
international-federation-of-red-cross-and-red-crescent-societies-ifrc,International Federation of Red Cross and Red Crescent Societies (IFRC),99,0,1,NA,done
international-organization-for-migration,International Organization for Migration,298,1,1,NA,done
italian-red-cross,Italian Red Cross,6149,1,2,NA,done
jips,JIPS,16522,1,6,NA,done
kobo,KoBo,NA,0,4,Not an Organization,done
mapaction,MapAction,8796,2,2,NA,done
medair,Medair,5095,2,2,NA,done
medecins-du-monde,Mí©decins du Monde,5076,6,6,NA,done
mercy-corps,Mercy Corps,5162,3,3,NA,done
mit-government-lab,MIT Government Lab,NA,0,0,Not an Organization,done
nethope,NetHope,16782,2,2,NA,done
ocha-afghanistan,OCHA Afghanistan,119,0,0,NA,done
ocha-bgss1,OCHA BGSS,119,0,0,NA,done
ocha-colombia,OCHA Colombia,119,0,0,NA,done
ocha-dr-congo,OCHA DR Congo,119,0,0,NA,done
ocha-fiss,OCHA FISS,119,0,0,NA,done
ocha-fts,OCHA FTS,119,0,0,NA,done
ocha-mali,OCHA Mali,119,0,0,NA,done
ocha-myanmar,OCHA Myanmar,119,0,0,NA,done
ocha-orhc,OCHA ORHC,119,0,0,NA,done
ocha-philippines,UNOCHA Philippines,119,0,0,NA,done
ocha-roea,OCHA ROEA,119,0,0,NA,done
ocha-rowca,OCHA ROWCA,119,0,0,NA,done
ocha-somalia,OCHA Somalia,119,0,0,NA,done
ocha-south-sudan,OCHA South Sudan,119,0,0,NA,done
ocha-yemen,OCHA Yemen,119,0,0,NA,done
oim-colombia,OIM Colombia,298,0,0,NA,done
open-crisis,Open Crisis,NA,0,1,Not an Organization,done
ourairports,OurAirports,NA,0,0,Not an Organization,done
red-nacional-de-informacion,Red Nacional de Informacion,NA,0,0,Small Organization,done
relief-applications,Relief Applications,NA,0,0,Small Organization,done
small-arms-survey,Small Arms Survey,13136,1,1,NA,done
spatial-collective,Spatial Collective,NA,0,0,Small Organization,done
standby-task-force,Standby Task Force,NA,0,0,Small Organization,done
swiss-red-cross,Swiss Red Cross,5480,1,1,NA,done
tdh-lausanne,TDH Lausanne,16143,0,1,NA,done
terre-des-hommes-italia,Terre des Hommes-Italia,6405,0,0,NA,done
u-s-dod,U.S. DoD,14689,0,0,NA,done
un-ocha,OCHA HQ,119,0,0,NA,done
unesco,UNESCO,5103,4,8,NA,done
unhcr,UNHCR,120,13,15,NA,done
unhcr-colombia,UNHCR Colombia,120,0,0,NA,done
unhcr-kenya,UNHCR Kenya,120,0,0,NA,done
unhcr-niger,UNHCR Niger,120,0,0,NA,done
unicef-colombia,UNICEF Colombia,120,0,0,NA,done
unicef-esaro,UNICEF ESARO,120,0,0,NA,done
unidad-nacional-para-la-gestion-del-riesgo-de-desastres,Unidad Nacional para la gestion del riesgo de desastres,NA,0,0,Government Body,done
unitar-unosat-geotagx,UNITAR-UNOSAT-GEOTAGX,7475,0,0,NA,done
universidad-industrial-de-santander,Universidad Industrial de Santander,NA,0,0,Not an Organization,done
unmas-colombia,UNMAS Colombia,5116,0,0,NA,done
unmeer,UNMEER,16932,1,2,NA,done
us-state-hui,US Department of State - Humanitarian Information Unit,NA,0,0,Government Body,done
ushahidi,Ushahidi,NA,0,0,Small Organization,done
wash-cluster-guinea,WASH Cluster Guinea,NA,0,0,Not an Organization,done
wfp,WFP - World Food Programme,561,0,0,NA,done
world-health-organization,World Health Organization,5497,2,2,NA,done
young-pioneer-disaster-response-ypdr,Young Pioneer Disaster Response (YPDR),NA,0,0,Small Organization,done
