"id","name","abbreviation","type"
14644,"11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw","11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw","NGOs"
6628,"21 Century Unification Service Organization","21 CUSO","NGOs"
13690,"3Com","3Com","Private Orgs. & Foundations"
13617,"3M","3M","Private Orgs. & Foundations"
8748,"A Call to Serve International","ACTS International","NGOs"
14109,"A Single Drop for Safe Water Inc.","ASDSW","NGOs"
15704,"A Society of Development Building Capabilities Social Reconciliation","ADBCSR","NGOs"
16903,"A.I.M.E! International e.V. (Deutschland)","AIME","Private Orgs. & Foundations"
16217,"Aadamiga USA","Aadamiga USA","NGOs"
14212,"AAGAHI","AAGAHI","NGOs"
14014,"Aamin Voluntary Relief Organization","AVRO","NGOs"
15331,"AAP","AAP","NGOs"
13724,"AAPKI Foundation","AAPKI Foundation","Private Orgs. & Foundations"
6724,"AASAA","AASAA","NGOs"
7300,"AASAA pool","AASAA pool","UN Agencies"
15099,"Aayo Development Foundation","ADF","Private Orgs. & Foundations"
13134,"Abaseen Foundation","AF","Private Orgs. & Foundations"
13531,"ABB Foundation","ABB Foundation","Private Orgs. & Foundations"
8622,"Abbott Laboratories","Abbott Laboratories","Private Orgs. & Foundations"
8527,"ABC Children's Aid","ABC Children's Aid","NGOs"
15122,"ABCD","ABCD","NGOs"
7495,"Abdul Latif Jameel Group","Abdul Latif Jameel Group","Private Orgs. & Foundations"
8779,"ABKHAZINTERCONT","AIC","NGOs"
16650,"Abna-Mikhlaf Foundation","AMF","NGOs"
8289,"Abo Akademi University","AAU","Private Orgs. & Foundations"
14092,"Abraham's Oasis","Abraham's Oasis","Private Orgs. & Foundations"
16910,"ABRAR Organization for Development and Care of People with Disablilities","ABRAR","NGOs"
6647,"Abt Associates","Abt Associates","Private Orgs. & Foundations"
12734,"Abu Dhabi National Energy Company","TAQA","Private Orgs. & Foundations"
12777,"Abu Dhabi Tourism Authority","ADTA","Government"
6611,"Abundant Life Church ","ALC","NGOs"
8948,"Abyei Community Action for Development","ACAD","NGOs"
6463,"Academy Charity Teaching Hospital","ACTH","Private Orgs. & Foundations"
6455,"Academy for Educational Development","AED","NGOs"
5289,"ACBAR - Agency Coordinating Body for Afghan Relief","ACBAR","NGOs"
16368,"Accenture","Accenture","Private Orgs. & Foundations"
8863,"Access Aid and Development","Access Aid ","NGOs"
16377,"Access Aid International","AAI","NGOs"
13158,"Access Development and Relief Organization","ADRO","NGOs"
15047,"Access Education International","AEI","NGOs"
15914,"Access Relief and Development","ARD","NGOs"
14009,"Access to Prevention, Education, and Treatment","APET","NGOs"
16047,"Access to Quality Education Program","AQEP","NGOs"
15293,"Access to Social Development","ASD","NGOs"
5909,"Accio Solidaria IGMAN","Accio Solidaria IGMAN","NGOs"
13455,"ACE Charitable Foundation","ACE Charitable Foundation","Private Orgs. & Foundations"
15620,"Aceh’s People Forum","Aceh’s People Forum","UN Agencies"
14004,"ACF - Canada","ACF - Canada","NGOs"
5271,"ACF - France","ACF - France","NGOs"
5647,"ACF - Spain","ACF - Spain","NGOs"
5783,"ACF - UK","ACF - UK","NGOs"
14005,"ACF - USA","ACF - USA","NGOs"
6473,"ACFOA","ACFOA","NGOs"
7539,"Achieving the Potential in Crops","APOC","NGOs"
6032,"ACH-UK/INTERMON","ACH-UK/INTERMON","NGOs"
5366,"ACLU","ACLU","NGOs"
6714,"ACM-YMCA","ACM-YMCA","NGOs"
14983,"ACRA - Cooperazione Rurale in Africa e America Latina","ACRA","NGOs"
13470,"ACT Alliance","ACT Alliance","NGOs"
15596,"ACT Alliance / Act for Peace","ACT/AFP","NGOs"
5551,"ACT Alliance / Amity Foundation","ACT/AF","NGOs"
15381,"ACT Alliance / Bread for the World","ACT/BFTW","NGOs"
7582,"ACT Alliance / Canadian Lutheran World Relief","ACT/CLWR","NGOs"
5059,"ACT Alliance / Christian Aid","ACT/CA","NGOs"
6488,"ACT Alliance / Christian Aid Ministries Nehemia","ACT/CAMN","NGOs"
5273,"ACT Alliance / Christian Aid UK","ACT/CA UK","NGOs"
7973,"ACT Alliance / Christian Aids Initiatives Network Zimbabwe","ACT/CAIN Zimbabwe","NGOs"
6609,"ACT Alliance / Christian Care","ACT/CC","NGOs"
8266,"ACT Alliance / Christian Commission for Development in Bangladesh","ACT/CCDB","NGOs"
7350,"ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012)","ACT/CRWRC","NGOs"
5495,"ACT Alliance / Church of Sweden","ACT/CoS","NGOs"
5357,"ACT Alliance / Church World Service","ACT/CWS","NGOs"
6696,"ACT Alliance / Church World Service - Indonesia","ACT/CWS Indonesia","NGOs"
5328,"ACT Alliance / DanChurchAid","ACT/DCA","NGOs"
7634,"ACT Alliance / Diakonia, Sweden","ACT/Diakonia, Sweden","NGOs"
6893,"ACT Alliance / Diakonie","ACT/Diakonie","NGOs"
8110,"ACT Alliance / Diakonie Austria","ACT/Diakonie Austria","NGOs"
5789,"ACT Alliance / Diakonie Emergency Aid","ACT/Diakonie Emergency Aid","NGOs"
7011,"ACT Alliance / Ethiopian Orthodox Church","ACT/EOC","Private Orgs. & Foundations"
5390,"ACT Alliance / Finn Church Aid","ACT/FCA","NGOs"
5345,"ACT Alliance / Finnchurchaid/ Mines Advisory Group","ACT/FCA/MAG","NGOs"
5535,"ACT Alliance / Hungarian Interchurch Aid","ACT/HIA","NGOs"
6520,"ACT Alliance / Icelandic Church Aid","ACT/ICA","NGOs"
6075,"ACT Alliance / Interchurch Organisation for Development Co-operation","ACT/ICCO","NGOs"
6785,"ACT Alliance / Kerk in Actie - Netherlands","ACT/KIA","NGOs"
15067,"ACT Alliance / Life With Dignity","ACT/LWD","NGOs"
8350,"ACT Alliance / Lutheran Development Service","ACT/LDS","NGOs"
5502,"ACT Alliance / Lutheran World Federation","ACT/LWF","NGOs"
7465,"ACT Alliance / Lutheran World Federation Nepal","ACT/LWF Nepal","NGOs"
5501,"ACT Alliance / Lutheran World Relief","ACT/LWR","NGOs"
