"display_name","title","name"
"ACAPS","ACAPS","acaps"
"Accion Contra el Hambre (ACF-Spain)","Accion Contra el Hambre (ACF-Spain)","accion-contra-el-hambre-acf-spain"
"ADRA Vanuatu","ADRA Vanuatu","adra-vanuatu"
"ALHASAN Systems Private Limited","ALHASAN Systems Private Limited","alhasan-systems-private-limited"
"American Red Cross","American Red Cross","american-red-cross"
"BRC Maps Team","BRC Maps Team","brcmapsteam"
"Canadian Red Cross","Canadian Red Cross","canadian-red-cross"
"Caribbean GIS","Caribbean GIS","caribbean-gis"
"CartONG","CartONG","cartong"
"Central University","Central University","central-university"
"CODHES","CODHES","codhes"
"DANE","DANE","dane"
"DFID","DFID","dfid"
"Direct Relief","Direct Relief","direct-relief"
"Emergency Telecommunications Cluster","Emergency Telecommunications Cluster","emergency-telecommunications-cluster"
"Food and Agriculture Organization (FAO)","Food and Agriculture Organization (FAO)","fao"
"Flowminder","Flowminder","flowminder"
"French Red Cross","French Red Cross","french-red-cross"
"Gapminder Foundation","Gapminder Foundation","gapminder-foundation"
"Global CCCM Cluster","Global CCCM Cluster","global-cccm-cluster"
"Global Data Lab (GDL)","Global Data Lab (GDL)","global-data-lab-gdl"
"HDX","HDX","hdx"
"Humanitarian OpenStreetMap Team (HOT)","Humanitarian OpenStreetMap Team (HOT)","hot"
"Human Rights Watch (HRW)","Human Rights Watch (HRW)","hrw"
"Humanitarian Exchange Language (HXL)","Humanitarian Exchange Language (HXL)","humanitarian-exchange-language-hxl"
"Humanity Road","Humanity Road","humanity-road"
"ICRC DRC","ICRC DRC","icrc-drc"
"Info4Disasters","Info4Disasters","info4disasters"
"InfoRM","InfoRM","inform"
"INNAGO","INNAGO","innago"
"InterAction","InterAction","interaction"
"Internal Displacement Monitoring Centre (IDMC)","Internal Displacement Monitoring Centre (IDMC)","international-displacement-monitoring-centre-idmc"
"International Federation of Red Cross and Red Crescent Societies (IFRC)","International Federation of Red Cross and Red Crescent Societies (IFRC)","international-federation-of-red-cross-and-red-crescent-societies-ifrc"
"International Organization for Migration","International Organization for Migration","international-organization-for-migration"
"Italian Red Cross","Italian Red Cross","italian-red-cross"
"JIPS","JIPS","jips"
"KoBo","KoBo","kobo"
"MapAction","MapAction","mapaction"
"Medair","Medair","medair"
"Médecins du Monde","Médecins du Monde","medecins-du-monde"
"Mercy Corps","Mercy Corps","mercy-corps"
"MIT Government Lab","MIT Government Lab","mit-government-lab"
"NetHope","NetHope","nethope"
"OCHA Afghanistan","OCHA Afghanistan","ocha-afghanistan"
"OCHA BGSS","OCHA BGSS","ocha-bgss1"
"OCHA Colombia","OCHA Colombia","ocha-colombia"
"OCHA DR Congo","OCHA DR Congo","ocha-dr-congo"
"OCHA FISS","OCHA FISS","ocha-fiss"
"OCHA FTS","OCHA FTS","ocha-fts"
"OCHA Mali","OCHA Mali","ocha-mali"
"OCHA Myanmar","OCHA Myanmar","ocha-myanmar"
"OCHA ORHC","OCHA ORHC","ocha-orhc"
"UNOCHA Philippines","UNOCHA Philippines","ocha-philippines"
"OCHA ROEA","OCHA ROEA","ocha-roea"
"OCHA ROWCA","OCHA ROWCA","ocha-rowca"
"OCHA Somalia","OCHA Somalia","ocha-somalia"
"OCHA South Sudan","OCHA South Sudan","ocha-south-sudan"
"OCHA Yemen","OCHA Yemen","ocha-yemen"
"OIM Colombia","OIM Colombia","oim-colombia"
"Open Crisis","Open Crisis","open-crisis"
"OurAirports","OurAirports","ourairports"
"Red Nacional de Informacion","Red Nacional de Informacion","red-nacional-de-informacion"
"Relief Applications","Relief Applications","relief-applications"
"Small Arms Survey","Small Arms Survey","small-arms-survey"
"Spatial Collective","Spatial Collective","spatial-collective"
"Standby Task Force","Standby Task Force","standby-task-force"
"Swiss Red Cross","Swiss Red Cross","swiss-red-cross"
"TDH Lausanne","TDH Lausanne","tdh-lausanne"
"Terre des Hommes-Italia","Terre des Hommes-Italia","terre-des-hommes-italia"
"U.S. DoD","U.S. DoD","u-s-dod"
"OCHA HQ","OCHA HQ","un-ocha"
"UNESCO","UNESCO","unesco"
"UNHCR","UNHCR","unhcr"
"UNHCR Colombia","UNHCR Colombia","unhcr-colombia"
"UNHCR Kenya","UNHCR Kenya","unhcr-kenya"
"UNHCR Niger","UNHCR Niger","unhcr-niger"
"UNICEF Colombia","UNICEF Colombia","unicef-colombia"
"UNICEF ESARO","UNICEF ESARO","unicef-esaro"
"Unidad Nacional para la gestion del riesgo de desastres","Unidad Nacional para la gestion del riesgo de desastres","unidad-nacional-para-la-gestion-del-riesgo-de-desastres"
"UNITAR-UNOSAT-GEOTAGX","UNITAR-UNOSAT-GEOTAGX","unitar-unosat-geotagx"
"Universidad Industrial de Santander","Universidad Industrial de Santander","universidad-industrial-de-santander"
"UNMAS Colombia","UNMAS Colombia","unmas-colombia"
"UNMEER","UNMEER","unmeer"
"US Department of State - Humanitarian Information Unit","US Department of State - Humanitarian Information Unit","us-state-hui"
"Ushahidi","Ushahidi","ushahidi"
"WASH Cluster Guinea","WASH Cluster Guinea","wash-cluster-guinea"
"WFP - World Food Programme","WFP - World Food Programme","wfp"
"World Health Organization","World Health Organization","world-health-organization"
"Young Pioneer Disaster Response (YPDR)","Young Pioneer Disaster Response (YPDR)","young-pioneer-disaster-response-ypdr"
